SAMN21237737	SRR15724304_1.fastq.gz	SRR15724304_2.fastq.gz
SAMN21237738	SRR15724305_1.fastq.gz	SRR15724305_2.fastq.gz
SAMN21237739	SRR15724306_1.fastq.gz	SRR15724306_2.fastq.gz
SAMN21237740	SRR15724307_1.fastq.gz	SRR15724307_2.fastq.gz
SAMN21237741	SRR15724308_1.fastq.gz	SRR15724308_2.fastq.gz
SAMN21237742	SRR15724309_1.fastq.gz	SRR15724309_2.fastq.gz
SAMN21237743	SRR15724310_1.fastq.gz	SRR15724310_2.fastq.gz
SAMN21237744	SRR15724311_1.fastq.gz	SRR15724311_2.fastq.gz
SAMN21237745	SRR15724312_1.fastq.gz	SRR15724312_2.fastq.gz
SAMN21237746	SRR15724313_1.fastq.gz	SRR15724313_2.fastq.gz
SAMN21237747	SRR15724314_1.fastq.gz	SRR15724314_2.fastq.gz
SAMN21237748	SRR15724315_1.fastq.gz	SRR15724315_2.fastq.gz
SAMN21237749	SRR15724316_1.fastq.gz	SRR15724316_2.fastq.gz
SAMN21237750	SRR15724317_1.fastq.gz	SRR15724317_2.fastq.gz
SAMN21237751	SRR15724318_1.fastq.gz	SRR15724318_2.fastq.gz
SAMN21237752	SRR15724319_1.fastq.gz	SRR15724319_2.fastq.gz
SAMN21237753	SRR15724320_1.fastq.gz	SRR15724320_2.fastq.gz
SAMN21237754	SRR15724321_1.fastq.gz	SRR15724321_2.fastq.gz
SAMN21237755	SRR15724322_1.fastq.gz	SRR15724322_2.fastq.gz
SAMN21237756	SRR15724323_1.fastq.gz	SRR15724323_2.fastq.gz
SAMN21237757	SRR15724324_1.fastq.gz	SRR15724324_2.fastq.gz
SAMN21237758	SRR15724325_1.fastq.gz	SRR15724325_2.fastq.gz
SAMN21237759	SRR15724326_1.fastq.gz	SRR15724326_2.fastq.gz
